member_id,signup_date,tier,age_group,state
M0001,2022-04-13,Gold,55+,Sabah
M0002,2022-12-15,Silver,18-24,Penang
M0003,2022-09-28,Silver,55+,Kuala Lumpur
M0004,2022-04-17,Platinum,55+,Johor
M0005,2022-03-13,Silver,35-44,Penang
M0006,2022-07-08,Silver,25-34,Sabah
M0007,2022-01-21,Gold,18-24,Johor
M0008,2022-04-13,Silver,35-44,Sabah
M0009,2022-05-02,Silver,25-34,Johor
M0010,2022-08-03,Platinum,25-34,Kuala Lumpur
M0011,2022-11-27,Silver,45-54,Penang
M0012,2022-03-29,Platinum,18-24,Johor
M0013,2022-04-10,Platinum,25-34,Selangor
M0014,2022-12-26,Silver,35-44,Selangor
M0015,2022-06-01,Silver,45-54,Johor
M0016,2022-05-11,Silver,18-24,Johor
M0017,2022-05-30,Silver,55+,Johor
M0018,2022-11-05,Silver,35-44,Selangor
M0019,2022-09-15,Gold,25-34,Selangor
M0020,2022-12-10,Silver,25-34,Johor
M0021,2022-10-21,Silver,35-44,Sabah
M0022,2022-07-11,Gold,25-34,Sabah
M0023,2022-10-04,Silver,45-54,Kuala Lumpur
M0024,2022-06-10,Gold,18-24,Penang
M0025,2022-11-10,Silver,45-54,Sabah
M0026,2022-01-22,Silver,25-34,Selangor
M0027,2022-09-10,Gold,55+,Sabah
M0028,2022-08-24,Gold,18-24,Kuala Lumpur
M0029,2022-12-11,Gold,18-24,Kuala Lumpur
M0030,2022-02-18,Gold,35-44,Penang
M0031,2022-02-28,Gold,35-44,Sabah
M0032,2022-06-19,Silver,55+,Selangor
M0033,2022-07-07,Silver,18-24,Selangor
M0034,2022-09-28,Gold,55+,Johor
M0035,2022-07-09,Gold,35-44,Selangor
M0036,2022-06-24,Platinum,35-44,Penang
M0037,2022-02-20,Silver,18-24,Penang
M0038,2022-12-30,Silver,45-54,Selangor
M0039,2022-02-24,Gold,25-34,Selangor
M0040,2022-09-01,Silver,35-44,Johor
M0041,2022-11-16,Platinum,35-44,Selangor
M0042,2022-05-11,Gold,45-54,Johor
M0043,2022-11-03,Silver,45-54,Johor
M0044,2022-05-15,Gold,55+,Selangor
M0045,2022-01-21,Gold,55+,Kuala Lumpur
M0046,2022-11-25,Silver,25-34,Kuala Lumpur
M0047,2022-06-16,Platinum,25-34,Johor
M0048,2022-10-01,Silver,18-24,Selangor
M0049,2022-03-30,Gold,55+,Kuala Lumpur
M0050,2022-11-12,Silver,35-44,Selangor
M0051,2022-01-14,Gold,55+,Selangor
M0052,2022-08-30,Silver,35-44,Selangor
M0053,2022-09-22,Silver,45-54,Sabah
M0054,2022-12-12,Platinum,55+,Selangor
