transaction_id,member_id,merchant_id,spend_amount,timestamp
T00001,M0076,MER010,9.76,2023-06-07
T00002,M0385,MER010,5.81,2023-05-14
T00003,M0439,MER020,41.85,2023-03-08
T00004,M0278,MER009,131.79,2023-12-02
T00005,M0040,MER017,2.82,2023-01-07
T00006,M0101,MER015,27.37,2023-01-14
T00007,M0111,MER002,61.47,2023-03-14
T00008,M0385,MER004,31.06,2023-06-12
T00009,M0321,MER019,82.12,2023-03-07
T00010,M0249,MER017,9.9,2023-12-13
T00011,M0191,MER005,160.44,2023-05-10
T00012,M0490,MER007,24.32,2023-07-25
T00013,M0182,MER018,20.89,2023-10-03
T00014,M0426,MER007,103.81,2023-09-13
T00015,M0405,MER017,41.49,2023-09-23
T00016,M0335,MER007,36.33,2023-01-25
T00017,M0209,MER004,64.91,2023-10-08
T00018,M0022,MER008,43.36,2023-09-10
T00019,M0166,MER013,8.87,2023-11-06
T00020,M0099,MER004,56.07,2023-10-16
T00021,M0493,MER006,7.16,2023-06-13
T00022,M0208,MER005,81.96,2023-04-05
T00023,M0008,MER012,228.96,2023-09-27
T00024,M0190,MER004,23.69,2023-11-17
T00025,M0175,MER009,29.42,2023-04-20
T00026,M0273,MER004,2.38,2023-12-02
T00027,M0017,MER019,0.69,2023-11-06
T00028,M0090,MER014,127.18,2023-08-26
T00029,M0141,MER005,6.88,2023-01-25
T00030,M0145,MER018,29.51,2023-05-21
T00031,M0166,MER010,84.47,2023-04-27
T00032,M0337,MER019,110.06,2023-01-25
T00033,M0496,MER012,36.64,2023-03-20
T00034,M0078,MER018,41.62,2023-03-09
T00035,M0429,MER017,55.39,2023-06-22
T00036,M0262,MER011,162.7,2023-01-12
T00037,M0163,MER003,46.15,2023-10-15
T00038,M0366,MER017,40.99,2023-05-08
T00039,M0014,MER001,0.73,2023-04-06
T00040,M0239,MER015,4.22,2023-04-02
T00041,M0072,MER009,43.04,2023-05-21
T00042,M0445,MER015,137.63,2023-01-31
T00043,M0143,MER003,100.75,2023-11-30
T00044,M0310,MER019,202.5,2023-01-20
T00045,M0283,MER013,37.52,2023-05-26
T00046,M0269,MER012,77.54,2023-11-12
T00047,M0241,MER020,91.75,2023-06-09
T00048,M0415,MER001,52.21,2023-12-15
T00049,M0245,MER017,20.68,2023-02-12
T00050,M0163,MER013,31.74,2023-09-11
T00051,M0060,MER001,97.57,2023-05-10
T00052,M0006,MER010,17.73,2023-03-01
T00053,M0197,MER015,128.68,2023-05-31
T00054,M0470,MER007,13.06,2023-10-14
T00055,M0058,MER018,69.22,2023-01-05
T00056,M0305,MER016,49.79,2023-09-23
T00057,M0407,MER014,69.23,2023-12-11
T00058,M0217,MER018,28.75,2023-05-10
T00059,M0418,MER007,134.89,2023-09-24
T00060,M0026,MER017,50.05,2023-06-27
T00061,M0303,MER018,17.0,2023-09-10
T00062,M0005,MER012,50.87,2023-02-25
T00063,M0474,MER008,16.9,2023-03-24
T00064,M0020,MER002,17.38,2023-04-09
T00065,M0390,MER007,25.51,2023-05-29
T00066,M0198,MER004,95.67,2023-11-25
T00067,M0059,MER018,34.69,2023-06-05
T00068,M0448,MER006,56.8,2023-07-09
T00069,M0242,MER009,24.88,2023-09-20
T00070,M0146,MER009,15.3,2023-03-21
T00071,M0388,MER014,154.66,2023-09-09
T00072,M0273,MER008,46.26,2023-04-07
T00073,M0249,MER019,135.87,2023-09-17
T00074,M0014,MER003,11.37,2023-09-17
T00075,M0462,MER018,7.94,2023-04-13
T00076,M0013,MER005,96.84,2023-02-09
T00077,M0391,MER014,57.12,2023-09-30
T00078,M0384,MER004,10.33,2023-04-11
T00079,M0044,MER007,15.69,2023-12-25
T00080,M0375,MER020,80.64,2023-11-04
T00081,M0399,MER012,30.24,2023-08-09
T00082,M0019,MER002,55.52,2023-11-04
T00083,M0063,MER011,19.16,2023-05-04
T00084,M0491,MER014,24.0,2023-08-19
T00085,M0239,MER016,233.95,2023-06-27
T00086,M0492,MER020,14.23,2023-03-04
T00087,M0419,MER006,35.31,2023-04-26
T00088,M0337,MER004,93.02,2023-07-10
T00089,M0419,MER015,13.67,2023-03-03
T00090,M0403,MER001,26.83,2023-09-13
T00091,M0404,MER007,47.74,2023-01-07
T00092,M0100,MER012,32.81,2023-06-04
T00093,M0163,MER010,30.76,2023-04-02
T00094,M0416,MER005,22.51,2023-01-14
T00095,M0122,MER012,44.17,2023-08-17
T00096,M0432,MER018,48.96,2023-03-27
T00097,M0044,MER010,52.96,2023-05-13
T00098,M0360,MER006,3.65,2023-07-02
T00099,M0408,MER012,49.85,2023-03-03
T00100,M0317,MER007,153.13,2023-08-07
T00101,M0381,MER018,38.93,2023-09-03
T00102,M0145,MER002,62.81,2023-08-18
T00103,M0327,MER010,40.68,2023-03-20
T00104,M0363,MER015,96.46,2023-05-29
T00105,M0050,MER012,132.67,2023-05-18
T00106,M0065,MER017,10.18,2023-11-10
T00107,M0355,MER004,28.71,2023-03-06
T00108,M0288,MER007,24.91,2023-01-13
T00109,M0164,MER009,25.98,2023-08-01
T00110,M0141,MER019,6.71,2023-08-30
T00111,M0454,MER007,84.0,2023-08-01
T00112,M0314,MER002,1.82,2023-06-30
T00113,M0128,MER006,37.56,2023-12-04
T00114,M0398,MER018,54.22,2023-06-22
T00115,M0421,MER006,11.63,2023-06-09
T00116,M0368,MER013,118.14,2023-06-13
T00117,M0463,MER019,91.18,2023-07-07
T00118,M0239,MER002,31.85,2023-07-10
T00119,M0324,MER012,26.48,2023-11-04
T00120,M0296,MER015,13.5,2023-09-13
T00121,M0187,MER014,65.47,2023-07-02
T00122,M0208,MER006,7.06,2023-04-27
T00123,M0220,MER018,57.01,2023-10-09
T00124,M0400,MER005,92.4,2023-07-15
T00125,M0190,MER018,12.97,2023-02-03
T00126,M0388,MER003,100.66,2023-02-21
T00127,M0429,MER003,1.69,2023-04-22
T00128,M0346,MER010,121.97,2023-09-09
T00129,M0284,MER019,6.3,2023-03-23
T00130,M0352,MER003,51.89,2023-08-20
T00131,M0237,MER012,14.39,2023-08-15
T00132,M0194,MER016,90.56,2023-08-21
T00133,M0287,MER017,35.9,2023-08-09
T00134,M0259,MER007,7.27,2023-02-11
T00135,M0246,MER013,42.31,2023-01-21
T00136,M0136,MER002,26.2,2023-02-11
T00137,M0280,MER004,54.15,2023-04-23
T00138,M0271,MER010,106.81,2023-04-15
T00139,M0171,MER007,26.33,2023-07-11
T00140,M0159,MER017,17.12,2023-01-17
T00141,M0201,MER020,0.73,2023-04-30
T00142,M0487,MER006,42.76,2023-05-09
T00143,M0045,MER019,25.73,2023-05-10
T00144,M0450,MER005,23.47,2023-03-01
T00145,M0264,MER010,10.1,2023-02-17
T00146,M0071,MER009,28.11,2023-01-29
T00147,M0364,MER013,208.16,2023-04-07
T00148,M0371,MER019,17.67,2023-01-10
T00149,M0103,MER006,45.78,2023-08-30
T00150,M0490,MER004,74.91,2023-11-10
T00151,M0125,MER003,69.15,2023-08-20
T00152,M0313,MER003,19.93,2023-10-04
T00153,M0464,MER004,47.19,2023-10-11
T00154,M0483,MER005,102.5,2023-07-22
T00155,M0286,MER008,0.78,2023-09-04
T00156,M0458,MER016,28.61,2023-10-17
T00157,M0230,MER003,12.7,2023-09-21
T00158,M0146,MER012,24.6,2023-08-02
T00159,M0370,MER008,26.89,2023-07-19
